Car_id,Car_series,Car_type,Car_colors,Car_Price
BMW-mX1-SV,X1,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Mineral White Metallic, Phytonic Blue Metallic, Portimao Blue Metallic, Storm Bay Metallic, San Remo Green Metallic, Frozen Pure Grey Metallic, Blue Bay Lagoon Metallic, Cape York Green Metallic, Utah Orange Metallic, Space Silver Metallic","$39,100"
BMW-mX3-SV,X3,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Carbon Black Metallic, Dark Graphite Metallic, Mineral White Metallic, Phytonic Blue Metallic, Tanzanite Blue II Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic","$46,200"
BMW-mX4-SV,X4,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Carbon Black Metallic, Dark Graphite Metallic, Mineral White Metallic, Phytonic Blue Metallic, Piemont Red, Tanzanite Blue II Metallic, Brooklyn Grey Metallic, Aventurin Red Metallic","$54,200"
BMW-mX5-SV,X5,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Carbon Black Metallic, Dark Graphite Metallic, Mineral White Metallic, Sparkling Brown Metallic, Phytonic Blue Metallic, Manhattan Green Metallic ","$61,600"
BMW-mX6-SV,X6,SAVs,"Alpine White, Jet Black, Black Sapphire Metallic, Carbon Black Metallic, Dark Graphite Metallic, Mineral White Metallic, Sparkling Brown Metallic, Flamenco Red Metallic, Phytonic Blue Metallic,  Manhattan Green Metallic  ","$70,100"
BMW-mX7-SV,X7,SAVs,"Alpine White, Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Blue Ridge Mountain Metallic, Dravit Grey Metallic, Manhattan Green Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Sparkling Copper Metallic ","$77,850"
BMW-X3M-SV,X3 M,SAVs,"Alpine White, Sao Paulo Yellow,  Carbon Black Metallic, Black Sapphire Metallic, Dark Graphite Metallic, Marina Bay Blue Metallic, Toronto Red Metallic, Brooklyn Grey Metallic","$74,400"
BMW-X4M-SV,X4 M,SAVs,"Alpine White, Sao Paulo Yellow, Carbon Black Metallic, Black Sapphire Metallic, Dark Graphite Metallic, Marina Bay Blue Metallic, Toronto Red Metallic, Brooklyn Grey Metallic","$77,900"
BMW-X5M-SV,X5 M,SAVs,"Alpine White, Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Marina Bay Blue Metallic, Donington Grey Metallic, Dravit Grey Metallic, Toronto Red Metallic","$108,900"
BMW-X6M-SV,X6 M,SAVs,"Alpine White, Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Marina Bay Blue Metallic, Donington Grey Metallic, Dravit Grey Metallic, Toronto Red Metallic","$113,700"
BMW-mIX-SV,IX,SAVs,"Alpine White, Black Sapphire Metallic, Dark Graphite Metallic, Mineral White Metallic, Phytonic Blue Metallic, Blue Ridge Mountain Metallic, Storm Bay Metallic, Oxide Grey Metallic, Aventurin Red Metallic ","$87,100"
BMW-mXM-SV,XM,SAVs,"Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Marina Bay Blue Metallic, Dravit Grey Metallic, Toronto Red Metallic, Cape York Green Metallic","$159,000"
BMW-m2S-SD,Series 2,Sedans,"Alpine White, Jet Black, Black Sapphire Metallic, Melbourne Red Metallic, Mineral White Metallic, Misano Blue Metallic, Snapper Rocks Blue Metallic, Phytonic Blue Metallic, Sunset Orange Metallic, Storm Bay Metallic, Skyscraper Grey Metallic ","$37,800"
BMW-m3S-SD,Series 3,Sedans,"Alpine White, Jet Black, Black Sapphire Metallic, Melbourne Red Metallic, Mineral White Metallic, Phytonic Blue Metallic, Portimao Blue Metallic, Dravit Grey Metallic, Tanzanite Blue II Metallic, Brooklyn Grey Metallic,  Skyscraper Grey Metallic","$43,800"
BMW-m4S-SD,Series 4,Sedans,"Alpine White, Jet Black, Black Sapphire Metallic, Sunset Orange Metallic, Portimao Blue Metallic, Dravit Grey Metallic, Tanzanite Blue II Metallic, San Remo Green Metallic, Brooklyn Grey Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic","$45,200"
BMW-m5S-SD,Series 5,Sedans,"Alpine White, Jet Black, Carbon Black Metallic, Black Sapphire Metallic, Dark Graphite Metallic, Mineral White Metallic, Phytonic Blue Metallic, Arctic Race Blue Metallic, Skyscraper Grey Metallic, Aventurin Red Metallic","$56,000"
BMW-m7S-SD,Series 7,Sedans,"Alpine White, Carbon Black Metallic, Black Sapphire Metallic, Mineral White Metallic, Dravit Grey Metallic, Tanzanite Blue II Metallic, Oxide Grey Metallic, Brooklyn Grey Metallic, Aventurin Red Metallic, Frozen Pure Grey Metallic, Frozen Deep Grey","$95,700"
BMW-m8S-SD,Series 8,Sedans,"Alpine White, Carbon Black Metallic,Black Sapphire Metallic,Mineral White Metallic,Sunset Orange Metallic,Portimao Blue Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,San Remo Green Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Pure Grey Metallic,Frozen Tanzanite Blue Metallic","$87,500"
BMW-mM3-SD,M3,Sedans,"Alpine White,Sao Paulo Yellow,Black Sapphire Metallic,Portimao Blue Metallic,Dravit Grey Metallic,Toronto Red Metallic,Tanzanite Blue II Metallic,Isle Of Man Green Metallic,Brooklyn Grey Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Brilliant White Metallic,Frozen Portimao Blue Metallic,Frozen Pure Grey II Metallic","$74,300"
BMW-mM5-SD,M5,Sedans,"Alpine White,Black Sapphire Metallic,Dark Graphite Metallic,Marina Bay Blue Metallic,Tanzanite Blue II Metallic,San Remo Green Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Alvite Grey Metallic","$109,000"
BMW-mM8-SD,M8,Sedans,"Alpine White,Black Sapphire Metallic,Marina Bay Blue Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,Isle Of Man Green Metallic,Brooklyn Grey Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic,Frozen Pure Grey Metallic,Frozen Tanzanite Blue Metallic","$134,100"
BMW-mI4-SD,i4,Sedans,"Alpine White,Jet Black,Black Sapphire Metallic, Mineral White Metallic,Sunset Orange Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,San Remo Green Metallic,Skyscraper Grey Metallic,Aventurin Red Metallic","$52,000"
BMW-mI7-SD,i7,Sedans,"Alpine White,Carbon Black Metallic,Black Sapphire Metallic,Dark Graphite Metallic,Mineral White Metallic,Dravit Grey Metallic,Tanzanite Blue II Metallic,Oxide Grey Metallic,Brooklyn Grey Metallic,Sparkling Copper Metallic,Aventurin Red Metallic,Frozen Pure Grey Metallic,Frozen Deep Grey,Space Silver Metallic","$119,300"
BMW-S2c-CP,Series 2 COUPE,Coupe,"Alpine White,Jet Black,Black Sapphire Metallic, Melbourne Red Metallic, Mineral White Metallic, Thundernight Metallic","$38,200"
