Branch_ID,Branch_Name,Branch_Tel,Branch_Zipcode,Branch_City,Branch_State,Branch_Region,
BX-406-070,Century BMW,855-237-4946,36816,Huntsville,Alabama,Southeastern,
BX-391-918,BMW of Birmingham,800-618-6695,35210,Irondale,Alabama,Southeastern,
BX-316-585,BMW of Mobile,877-360-1111,36606,Mobile,Alabama,Southeastern,
BX-963-993,BMW of Montgomery,800-255-7181,36117,Montgomery,Alabama,Southeastern,
BX-294-703,BMW of Tuscaloosa,205-345-9811,35405,Tuscaloosa,Alabama,Southeastern,
BX-420-369,BMW of Anchorage,877-606-8867,99501,Anchorage,Alaska,Northwest,
BX-042-939,Chapman of Chandler,400-342-0836,85226,Chandler,Arizona,Northwest,
BX-979-972,Arrowhead BMW,984-141-3420,85308,Glendale,Arizona,Northwest,
BX-527-880,BMW North Scottsdale,480-568-2569,85054,Phoenix,Arizona,Northwest,
BX-190-619,Chapman BMW on Camelback,260-770-7135,85014,Phoenix,Arizona,Northwest,
BX-845-420,BMW of Tuscon,520-200-1201,85705,Tuscon,Arizona,Northwest,
BX-727-000,BMW of Northwest Arkansas,479-286-3012,72712,Little Rock,Arkansas,South Central,
BX-587-204,BMW of Little Rock,780-271-2563,72210,Bentonville,Arkansas,South Central,
BX-933-793,New Century BMW,927-214-2702,91801,Alhambra,California,Western,
BX-157-789,BMW of Bakersfield,850- 622-4728,93313,Bakersfield,California,Western,
BX-078-551,Weatherford BMW,253- 082-5948,94710,Berkeley,California,Western,
BX-216-115,BMW of Buena Park,252- 447-1502,90621,Buena Park,California,Western,
BX-450-762,Bob Smith BMW,146- 862-2791,91302,Calabasa,California,Western,
BX-623-963,Steve Thomas BMW ,631- 272-2687,93010,Camarillo,California,Western,
BX-698-356,BMW of Chico,815- 654-5713,95973,Chico,California,Western,
BX-043-466,BMW Concord,403- 741-0125,94520,Concord,California,Western,
BX-898-634,BMW of EI Cajon,338- 417-7301,92020,EI cajon,California,Western,
BX-833-089,Niello BMW Elk Grove,316- 569-8396,95757,Elk Grove,California,Western,
BX-392-453,BMW Encinitas,162- 770-8667,92024,Encinitas,California,Western,
